Channel,Frequency,Mode,Step,Delay,Alpha tag,Priority,Lock out
1,156.0,,0,0,,No,No
2,156.05,,0,0,,No,No
3,156.1,,0,0,,No,No
4,156.15,,0,0,,No,No
5,156.2,,0,0,,No,No
6,156.25,,0,0,,No,No
7,156.3,,0,0,,No,No
8,156.35,,0,0,,No,No
9,156.4,,0,0,,No,No
10,156.45,,0,0,,No,No
11,156.5,,0,0,,No,No
12,156.55,,0,0,,No,No
13,156.6,,0,0,,No,No
14,156.65,,0,0,,No,No
15,156.7,,0,0,,No,No
16,156.75,,0,0,,No,No
17,156.8,,0,0,,No,No
18,156.85,,0,0,,No,No
19,156.9,,0,0,,No,No
20,156.95,,0,0,,No,No
21,157.0,,0,0,,No,No
22,157.05,,0,0,,No,No
23,157.1,,0,0,,No,No
24,157.15,,0,0,,No,No
25,157.2,,0,0,,No,No
26,157.25,,0,0,,No,No
27,157.3,,0,0,,No,No
28,157.35,,0,0,,No,No
29,157.4,,0,0,,No,No
30,157.85,,0,0,,No,No
31,162.45,,0,0,,No,No
32,156.025,,0,0,,No,No
33,156.075,,0,0,,No,No
34,156.125,,0,0,,No,No
35,156.175,,0,0,,No,No
36,156.225,,0,0,,No,No
37,156.275,,0,0,,No,No
38,156.325,,0,0,,No,No
39,156.375,,0,0,,No,No
40,156.425,,0,0,,No,No
41,156.475,,0,0,,No,No
42,156.525,,0,0,,No,No
43,156.575,,0,0,,No,No
44,156.625,,0,0,,No,No
45,156.675,,0,0,,No,No
46,156.725,,0,0,,No,No
47,156.775,,0,0,,No,No
48,156.825,,0,0,,No,No
49,156.875,,0,0,,No,No
50,156.925,,0,0,,No,No
51,156.975,,0,0,,No,No
52,157.025,,0,0,,No,No
53,157.075,,0,0,,No,No
54,157.125,,0,0,,No,No
55,157.175,,0,0,,No,No
56,157.225,,0,0,,No,No
57,157.275,,0,0,,No,No
58,157.325,,0,0,,No,No
59,157.375,,0,0,,No,No
60,157.425,,0,0,,No,No
61,161.425,,0,0,,No,No
62,162.025,,0,0,,No,No
63,161.975,,0,0,,No,No
64,161.45,,0,0,,No,No
65,162.575,,0,0,,No,No
66,0.0,,0,0,,No,No
67,0.0,,0,0,,No,No
68,0.0,,0,0,,No,No
69,0.0,,0,0,,No,No
70,0.0,,0,0,,No,No
71,0.0,,0,0,,No,No
72,0.0,,0,0,,No,No
73,0.0,,0,0,,No,No
74,0.0,,0,0,,No,No
75,0.0,,0,0,,No,No
76,0.0,,0,0,,No,No
77,0.0,,0,0,,No,No
78,0.0,,0,0,,No,No
79,0.0,,0,0,,No,No
80,0.0,,0,0,,No,No
81,0.0,,0,0,,No,No
82,0.0,,0,0,,No,No
83,0.0,,0,0,,No,No
84,0.0,,0,0,,No,No
85,0.0,,0,0,,No,No
86,0.0,,0,0,,No,No
87,0.0,,0,0,,No,No
88,0.0,,0,0,,No,No
89,0.0,,0,0,,No,No
90,121.5,,0,0,,No,No
91,243.0,,0,0,,No,No
92,50.0,,0,0,,No,No
93,100.0,,0,0,,No,No
94,156.2,,0,0,,No,No
95,156.25,,0,0,,No,No
96,0.0,,0,0,,No,No
97,0.0,,0,0,,No,No
98,0.0,,0,0,,No,No
99,243.0,,0,0,,No,No
100,243.0,,0,0,,No,No
101,121.25,,0,0,,No,No
102,124.75,,0,0,,No,No
103,127.45,,0,0,,No,No
104,128.25,,0,0,,No,No
105,128.7,,0,0,,No,No
106,128.75,,0,0,,No,No
107,133.9,,0,0,,No,No
108,135.075,,0,0,,No,No
109,135.15,,0,0,,No,No
110,135.265,,0,0,,No,No
111,135.275,,0,0,,No,No
112,135.625,,0,0,,No,No
113,141.275,,0,0,,No,No
114,231.825,,0,0,,No,No
115,233.725,,0,0,,No,No
116,233.8,,0,0,,No,No
117,251.225,,0,0,,No,No
118,252.875,,0,0,,No,No
119,252.975,,0,0,,No,No
120,255.1,,0,0,,No,No
121,259.625,,0,0,,No,No
122,261.35,,0,0,,No,No
123,268.4,,0,0,,No,No
124,268.975,,0,0,,No,No
125,270.05,,0,0,,No,No
126,275.475,,0,0,,No,No
127,275.5,,0,0,,No,No
128,275.625,,0,0,,No,No
129,275.65,,0,0,,No,No
130,277.625,,0,0,,No,No
131,278.6,,0,0,,No,No
132,279.225,,0,0,,No,No
133,280.35,,0,0,,No,No
134,281.225,,0,0,,No,No
